Permissionaria;Autos;TC;Denominacao_da_linha;caracteristica
VIAÇÃO GUAXUPE LTDA;8360;1;SAO JOAO DA BOA VISTA - VARGEM GRANDE DO SUL;Rodoviária Convencional
VIAÇÃO MACIR RAMAZINI TURISMO LTDA;8361;1;GUARIBA - RINCAO;Semiurbana
VIAÇÃO MACIR RAMAZINI TURISMO LTDA;8362;1;JABOTICABAL - GUARIBA;Semiurbana
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;8365;1;CORDEIROPOLIS - RIO CLARO;Rodoviária Convencional
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;8366;1;RIO CLARO - SANTA GERTRUDES;Rodoviária Convencional
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;8367;1;CONCHAL - ARARAS;Rodoviária Convencional
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;8368;1;ARARAS - RIO CLARO;Rodoviária Convencional
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;8369;1;CONCHAL - ARARAS;Rodoviária Convencional
RAPIDO D OESTE LTDA;8371;1;RIBEIRAO PRETO - SANTA ROSA DO VITERBO;Rodoviária Convencional
RAPIDO D OESTE LTDA;8372;1;RIBEIRAO PRETO - SAO SIMAO;Semiurbana
RAPIDO D OESTE LTDA;8373;1;RIBEIRAO PRETO - SAO SIMAO;Semiurbana
RAPIDO D OESTE LTDA;8374;1;RIBEIRAO PRETO - CRAVINHOS;Semiurbana
RAPIDO D OESTE LTDA;8375;1;RIBEIRAO PRETO - CRAVINHOS;Semiurbana
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8380;3;LINS - PENAPOLIS;Semiurbana
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8381;3;BAURU - PIRAJUI;Semiurbana
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8382;3;BAURU - LINS;Semiurbana
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8383;3;CAFELANDIA - LINS;Semiurbana
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8384;3;LINS - ARACATUBA;Semiurbana
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8385;3;PENAPOLIS - ARACATUBA;Semiurbana
VB TRANSPORTES E TURISMO LTDA;8400;1;RIO CLARO - ITIRAPINA;Semiurbana
VIAÇÃO SANTA CRUZ LTDA;8401;1;SÃO PAULO (T.TIÊTE) - CASA BRANCA;Rodoviária Convencional
TRANSRAPIDO SÃO FRANCISCO LTDA;8404;4;ALVARES FLORENCE - VOTUPORANGA;Rodoviária Convencional
VIAÇÃO LUWASA LTDA;8419;4;CATANDUVA - SANTA ADELIA;Semiurbana
RAPIDO LUXO CAMPINAS LTDA;8420;1;ITATINGA - AVARE;Semiurbana
VIAÇÃO PIRACICABANA S/A;8422;3;BAURU - DUARTINA;Semiurbana
VIAÇÃO PIRACICABANA S/A;8423;3;BAURU - MARILIA;Semiurbana
RAPIDO D OESTE LTDA;8426;1;RIBEIRAO PRETO - BARRETOS;Rodoviária Convencional
EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;8436;3;ARACATUBA - ANDRADINA;Rodoviária Convencional
EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;8439;3;SÃO PAULO(BARRA FUNDA) - GUAIMBE;Rodoviária Convencional
RAPIDO LUXO CAMPINAS LTDA;8445;1;JUNDIAI - VARZEA PAULISTA;Semiurbana
JANDAIA TRANSPORTES E TURISMO LTDA;8447;3;ADAMANTINA - MARIAPOLIS;Semiurbana
JANDAIA TRANSPORTES E TURISMO LTDA;8450;3;PRESIDENTE PRUDENTE - REGENTE FEIJO;Semiurbana
EMPRESA AUTO ÔNIBUS SÃO JORGE LTDA;8452;2;IPERO - SOROCABA;Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8459;5;SAO JOSE DOS CAMPOS - CACAPAVA;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8460;5;CACAPAVA - TAUBATE;Semiurbana
VIAÇÃO TRANSFRONTEIRA LTDA;8461;2;ITAPORANGA - ITAI;Rodoviária Convencional
EXPRESSO ITAMARATI S/A;8463;4;SANTA FE DO SUL - CAMPINAS;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;8467;1;ARARAQUARA - MATAO;Semiurbana
VB TRANSPORTES E TURISMO LTDA;8468;1;CAMPINAS(AEROP.VIRACOPOS) - JUNDIAI;Semiurbana
EMPRESA PRINCESA DO NORTE S/A;8470;3;OURINHOS - SOROCABA;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;8472;1;ARARAQUARA - MATAO;Semiurbana
VIAÇÃO LUWASA LTDA;8475;4;PARQUE DAS AMÉRICAS - SAO JOSE DO RIO PRETO;Semiurbana
VIAÇÃO DANUBIO AZUL LTDA;8478;1;BARRETOS - SÃO PAULO (T.TIÊTE);Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;8479;1;ARARAQUARA - JABOTICABAL;Semiurbana
VB TRANSPORTES E TURISMO LTDA;8489;1;CAMPINAS - JUNDIAI;Rodoviária Convencional
PLENA TRANSPORTES LTDA ME;8490;4;BARIRI - JAU;Rodoviária Convencional
EMPRESA PRINCESA DO NORTE S/A;8492;3;AVARE - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
EMPRESA AUTO ÔNIBUS MANOEL RODRIGUES S/A;8493;3;AVARE - SOROCABA;Rodoviária Convencional
EMPRESA RODOVIARIA PIRACICABANA LTDA;8499;1;CONCHAS - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;8501;1;ENGENHEIRO COELHO - LIMEIRA;Rodoviária Convencional
VIAÇÃO SANTA CRUZ LTDA;8507;1;SÃO PAULO (T.TIÊTE) - SAO JOSE DO RIO PARDO;Rodoviária Convencional
EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;8509;3;ANDRADINA - CAMPINAS;Rodoviária Convencional
VIAÇÃO MOURÃO LTDA;8510;3;LENCOIS PAULISTA - SAO MANUEL;Rodoviária Convencional
VIAÇÃO MOURÃO LTDA;8511;3;LENCOIS PAULISTA - MACATUBA;Semiurbana
VIAÇÃO MOURÃO LTDA;8512;3;LENCOIS PAULISTA - PEDERNEIRAS;Rodoviária Convencional
VB TRANSPORTES E TURISMO LTDA;8513;1;PIRACICABA - RIO CLARO;Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;8514;3;MARILIA - CAMPINAS;Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;8515;3;BAURU - AGUDOS;Semiurbana
VIAÇÃO PIRACICABANA S/A;8516;3;BAURU - AREIOPOLIS;Semiurbana
VIAÇÃO PIRACICABANA S/A;8517;3;BAURU - BOTUCATU;Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;8518;3;BOTUCATU - SAO MANUEL;Semiurbana
VIAÇÃO COMETA S/A;8523;5;SÃO PAULO(BARRA FUNDA) - SOROCABA;Rodoviária Convencional
AUTO VIAÇÃO OURINHOS ASSIS LTDA;8530;3;PALMITAL - ASSIS;Rodoviária Convencional
AUTO VIAÇÃO OURINHOS ASSIS LTDA;8531;3;OURINHOS - SALTO GRANDE;Semiurbana
AUTO VIAÇÃO OURINHOS ASSIS LTDA;8532;3;OURINHOS - ASSIS;Rodoviária Convencional
EMPRESA AUTO ÔNIBUS MACACARI LTDA;8533;3;GUARAPUA - DOIS CORREGOS;Rodoviária Convencional
EMPRESA AUTO ÔNIBUS MACACARI LTDA;8534;3;BARRA BONITA - DOIS CORREGOS;Rodoviária Convencional
AUTO ÔNIBUS DEL OESTE LTDA - EPP;8537;3;ITAPORANGA - PIRAJU;Rodoviária Convencional
VIAÇÃO COMETA S/A;8545;5;SÃO PAULO(BARRA FUNDA) - SAO ROQUE;Rodoviária Convencional
VB TRANSPORTES E TURISMO LTDA;8548;1;PIRACICABA - RIO CLARO;Semiurbana
VIAÇÃO SANTA CRUZ LTDA;8551;1;JAU - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
PLENA TRANSPORTES LTDA ME;8552;4;SAO MANUEL - JAU;Rodoviária Convencional
PLENA TRANSPORTES LTDA ME;8553;4;IGARACU DO TIETE - JAU;Rodoviária Convencional
EMPRESA RODOVIARIA PIRACICABANA LTDA;8554;1;SAO MANUEL - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
RAPIDO LUXO CAMPINAS LTDA;8555;1;AVARE - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
EMPRESA RODOVIARIA PIRACICABANA LTDA;8556;1;SAO MANUEL - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8558;3;ANDRADINA - PRESIDENTE EPITACIO;Rodoviária Convencional
VIAÇÃO PARATY LTDA;8563;4;SAO CARLOS - IBATE;Rodoviária Convencional
VIAÇÃO PARATY LTDA;8564;4;SAO CARLOS - IBATE;Semiurbana
ULTRA S/A - TRANSPORTES INTERURBANOS;8566;5;SAO PAULO(T.JABAQUARA) - GUARUJA(TERM.RODOVIARIO);Rodoviária Litorânea
TRANSPORTADORA TURÍSTICA PETITTO LTDA;8569;1;PRADOPOLIS - RIBEIRAO PRETO;Semiurbana
TRANSPORTADORA TURÍSTICA PETITTO LTDA;8570;1;DUMONT - RIBEIRAO PRETO;Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8571;5;GUARATINGUETA - APARECIDA;Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8572;5;APARECIDA - ROSEIRA;Semiurbana
EMPRESA DE TRANSPORTES ANDORINHA S/A;8577;3;PRESIDENTE PRUDENTE - MIRANTE PARANAPANEMA;Semiurbana
GUERINO SEISCENTO TRANSPORTES S/A;8578;3;ARACATUBA - BIRIGUI;Semiurbana
EMPRESA AUTO ÔNIBUS MACACARI LTDA;8587;3;JAU - ITAPUI;Rodoviária Convencional
VIAÇÃO PARATY LTDA;8601;4;ARARAQUARA - NOVA EUROPA;Semiurbana
VIAÇÃO SÃO RAPHAEL LTDA;8605;4;SAO JOSE DO RIO PRETO - NOVA GRANADA;Semiurbana
VIAÇÃO SÃO BENTO LTDA;8615;1;GUAIRA - BARRETOS;Semiurbana
RODOVIÁRIO IBITINGUENSE LTDA;8616;3;NOVO HORIZONTE - ITAPOLIS;Semiurbana
EMPRESA DE TRANSPORTES ANDORINHA S/A;8618;3;ROSANA - SANTO ANDRE;Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8620;3;PRESIDENTE PRUDENTE - MIRANTE PARANAPANEMA;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8621;2;SOROCABA - LARANJAL PAULISTA;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8623;2;BOITUVA - SOROCABA;Semiurbana
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8625;2;LARANJAL PAULISTA - SOROCABA;Rodoviária Convencional
EMPRESA RODOVIARIA PIRACICABANA LTDA;8631;1;MORUNGABA - ITATIBA;Semiurbana
EMPRESA RODOVIARIA PIRACICABANA LTDA;8632;1;CAMPINAS - AGUAS DE LINDOIA;Rodoviária Convencional
VIAÇÃO COMETA S/A;8633;5;TERM.ROD.GUARULHOS - PR. GRANDE(TUDE BASTOS);Rodoviária Litorânea
VIAÇÃO AGUDOS LTDA;8635;3;AGUDOS - BOREBI;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8636;2;SAO MIGUEL ARCANJO - CAPAO BONITO;Rodoviária Convencional
VINCO - VIAÇÃO NOIVACOLINENSE LTDA;8640;1;RIO DAS PEDRAS - PIRACICABA;Semiurbana
CRISTALENSE TRANSPORTES E TURISMO LTDA;8651;1;FRANCA - RESTINGA;Semiurbana
EXPRESSO ADAMANTINA LTDA;8652;3;TUPA - BASTOS;Semiurbana
JANDAIA TRANSPORTES E TURISMO LTDA;8670;3;PRESIDENTE PRUDENTE - ESPIGAO;Semiurbana
EMPRESA PRINCESA DO NORTE S/A;8673;3;MARILIA - TUPA;Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8675;5;SÃO PAULO (T.TIÊTE) - BANANAL;Rodoviária Convencional
AGOSUZI TRANSPORTES LTDA;8680;3;BRAUNA - PENAPOLIS;Semiurbana
VIAÇÃO SÃO BENTO LTDA;8687;1;RIBEIRAO PRETO - SERTAOZINHO;Semiurbana
VIAÇÃO SÃO BENTO LTDA;8688;1;SERTAOZINHO - BARRINHA;Semiurbana
RAPIDO LINENSE LTDA;8691;3;LINS - GUAICARA;Semiurbana
RAPIDO LINENSE LTDA;8692;3;LINS - PROMISSAO;Semiurbana
VIAÇÃO PARATY LTDA;8695;4;MATAO - TAQUARITINGA;Semiurbana
VIAÇÃO GUAXUPE LTDA;8697;1;SAO SEBASTIAO DA GRAMA - VARGEM GRANDE DO SUL;Rodoviária Convencional
TURISMAR TRANSPORTE E TURISMO LTDA;8699;3;MARILIA - OSCAR BRESSANE;Semiurbana
TURISMAR TRANSPORTE E TURISMO LTDA;8700;3;MARILIA - IEPE;Semiurbana
AUTO VIAÇÃO OURINHOS ASSIS LTDA;8701;3;CANDIDO MOTA - PALMITAL;Semiurbana
AUTO VIAÇÃO OURINHOS ASSIS LTDA;8702;3;OURINHOS - ASSIS;Semiurbana
VIAÇÃO PIRACICABANA S/A;8704;3;PERUIBE - SAO BERNARDO DO CAMPO;Rodoviária Litorânea
VIAÇÃO PIRACICABANA S/A;8705;3;MONGAGUA - SAO PAULO(T.JABAQUARA);Rodoviária Litorânea
EMPRESA DE ÔNIBUS VILA ELVIO LTDA;8709;2;IBIUNA - PIEDADE;Semiurbana
EMPRESA DE TRANSPORTES ANDORINHA S/A;8716;3;PRESIDENTE PRUDENTE - SANTO ANASTACIO;Semiurbana
JANDAIA TRANSPORTES E TURISMO LTDA;8717;3;PRESIDENTE PRUDENTE - ALVARES MACHADO;Semiurbana
EXPRESSO ITAMARATI S/A;8725;4;SAO JOSE DO RIO PRETO - MACAUBAL;Semiurbana
EMPRESA RODOVIARIA PIRACICABANA LTDA;8731;1;SÃO PAULO (T.TIÊTE) - AGUAS DE LINDOIA;Rodoviário Executivo
RAPIDO RIO PARDO TRANSPORTE E TURISMO LTDA-EPP;8732;3;CERQUEIRA CEZAR - BERNARDINO DE CAMPOS;Semiurbana
VIAÇÃO SANTA CRUZ LTDA;8736;1;SÃO PAULO (T.TIÊTE) - VARGEM GRANDE DO SUL;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8739;2;SALTO DE PIRAPORA - SAO PAULO;Rodoviária Convencional
VIAÇÃO SANTA CRUZ LTDA;8754;1;SAO JOAO DA BOA VISTA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional
VIAÇÃO GUAXUPE LTDA;8757;1;SAO JOAO DA BOA VISTA - AGUAS DA PRATA;Semiurbana
VIAÇÃO GUAXUPE LTDA;8758;1;SAO JOAO DA BOA VISTA - AGUAI;Rodoviária Convencional
VIAÇÃO SERRA DA JUREIA LTDA;8759;5;DIV.PEDRO TOLEDO/ITARIRI - DIV.MIRACATU(CEDRO/JUQUIA;Semiurbana
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8760;3;PEREIRA BARRETO - SUD MENUCCI;Semiurbana
RAPIDO D OESTE LTDA;8762;1;RIBEIRAO PRETO - SANTA CRUZ PALMEIRAS;Rodoviária Convencional
RAPIDO D OESTE LTDA;8763;1;CASA BRANCA - CACONDE;Rodoviária Convencional
RAPIDO D OESTE LTDA;8764;1;RIBEIRAO PRETO - SANTA RITA DO P.QUATRO;Rodoviária Convencional
RAPIDO D OESTE LTDA;8765;1;RIBEIRAO PRETO - DESCALVADO;Rodoviária Convencional
RODOVIÁRIO IBITINGUENSE LTDA;8767;3;GARCA - ALVILANDIA;Semiurbana
RODOVIÁRIO IBITINGUENSE LTDA;8768;3;LUCIANOPOLIS - BAURU;Rodoviária Convencional
RODOVIÁRIO IBITINGUENSE LTDA;8769;3;UBIRAJARA - BAURU;Semiurbana
GUERINO SEISCENTO TRANSPORTES S/A;8772;3;ASSIS - PARAGUACU PAULISTA;Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8784;5;CAMPOS DO JORDAO - TAUBATE;Rodoviária Convencional
VIAÇÃO CIDADE AZUL E TURISMO LTDA;8790;1;SAO PAULO - RIO CLARO;Rodoviária Convencional
VIAÇÃO CIDADE AZUL E TURISMO LTDA;8791;1;PIRACICABA - PIRACICABA;Semiurbana
VIAÇÃO CIDADE AZUL E TURISMO LTDA;8792;1;IRACEMAPOLIS - LIMEIRA;Semiurbana
TRANSRAPIDO SÃO FRANCISCO LTDA;8803;4;PALESTINA - VOTUPORANGA;Rodoviária Convencional
TRANSRAPIDO SÃO FRANCISCO LTDA;8806;4;VOTUPORANGA - INDIAPORA;Rodoviária Convencional
TRANSRAPIDO SÃO FRANCISCO LTDA;8808;4;AMERICO DE CAMPOS - VOTUPORANGA;Semiurbana
TRANSRAPIDO SÃO FRANCISCO LTDA;8809;4;PONTES GESTAL - VOTUPORANGA;Rodoviária Convencional
VIAÇÃO SÃO RAPHAEL LTDA;8819;4;OLIMPIA - GUARACI;Semiurbana
VIAÇÃO SÃO RAPHAEL LTDA;8820;4;BARRETOS - RIOLANDIA;Rodoviária Convencional
TRANSRAPIDO SÃO FRANCISCO LTDA;8823;4;VOTUPORANGA - RIOLANDIA;Rodoviária Convencional
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8824;3;ARACATUBA - MIRANDOPOLIS;Semiurbana
EXPRESSO DE PRATA LTDA;8830;3;BAURU - CAMPINAS;Rodoviária Convencional
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8831;3;JAU - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
EMPRESA CRUZ DE TRANSPORTES LTDA;8832;4;ARARAQUARA - SAO JOSE DO RIO PRETO;Rodoviária Convencional
PONTUR TRANSPORTES E TURISMO LTDA;8835;2;SOROCABA - SALTO;Semiurbana
EXPRESSO ITAMARATI S/A;8837;4;ARACATUBA - AURIFLAMA;Semiurbana
EXPRESSO ITAMARATI S/A;8838;4;ARACATUBA - JALES;Rodoviária Convencional
EMPRESA RODOVIARIA PIRACICABANA LTDA;8843;1;ITATIBA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8848;3;PRESIDENTE PRUDENTE - MARABA PAULISTA;Rodoviária Convencional
JANDAIA TRANSPORTES E TURISMO LTDA;8850;3;PRESIDENTE PRUDENTE - NARANDIBA;Semiurbana
VB TRANSPORTES E TURISMO LTDA;8855;1;TATUI - PORTO FELIZ;Semiurbana
EMPRESA DE TRANSPORTES ANDORINHA S/A;8861;3;RANCHARIA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8862;3;PARAGUACU PAULISTA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8863;3;SANTO ANASTACIO - ASSIS;Rodoviária Convencional
TRANSPORTES E TURISMO EROLES LTDA;8865;5;JACAREI - NAZARE PAULISTA;Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8869;3;PRESIDENTE PRUDENTE - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8870;3;SANTO ANASTACIO - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8871;3;PRESIDENTE EPITACIO - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8872;3;SANTO ANASTACIO - MIRANTE PARANAPANEMA;Semiurbana
EMPRESA DE TRANSPORTES ANDORINHA S/A;8873;3;PRESIDENTE PRUDENTE - SANTO ANASTACIO;Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8874;3;PRESIDENTE VENCESLAU - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8879;3;PEREIRA BARRETO - ANDRADINA;Semiurbana
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8882;3;ANDRADINA - CASTILHO;Semiurbana
EMPRESA DE ÔNIBUS TABAPUA LTDA;8889;4;PARQUE DAS AMÉRICAS - OLIMPIA;Semiurbana
EMPRESA DE ÔNIBUS ATILIO NATAL LTDA;8907;3;OSVALDO CRUZ - SALMORAO;Semiurbana
VIAÇÃO CIDADE AZUL E TURISMO LTDA;8925;1;RIO CLARO - P.GRANDE(V.MIRIM);Rodoviária Litorânea
VIAÇÃO DANUBIO AZUL LTDA;8927;1;OLIMPIA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8931;5;SAO BENTO DO SAPUCAI - SAO JOSE DOS CAMPOS;Rodoviária Convencional
VB TRANSPORTES E TURISMO LTDA;8934;1;PORTO FELIZ - CAMPINAS;Rodoviária Convencional
TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;8935;2;SÃO PAULO(BARRA FUNDA) - APIAI;Rodoviária Convencional
EMPRESA DE AUTO ÔNIBUS BOTUCATU LTDA;8936;2;RUBIAO JUNIOR - PARDINHO;Semiurbana
VIAÇÃO SÃO BENTO LTDA;8939;1;ALTINOPOLIS - SERRANA;Rodoviária Convencional
EMPRESA AUTO ÔNIBUS MANOEL RODRIGUES S/A;8941;3;AVARE - CERQUEIRA CEZAR;Semiurbana
RAPIDO LUXO CAMPINAS LTDA;8945;1;BOFETE - CONCHAS;Semiurbana
VIAÇÃO NOSSA SENHORA DA PONTE LTDA;8949;2;SOROCABA - SOROCABA;Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8950;3;PRESIDENTE VENCESLAU - TEODORO SAMPAIO;Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8955;3;PALMITAL - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8963;3;BOCAINA - SAO CARLOS;Semiurbana
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8964;3;RIBEIRAO BONITO - SAO CARLOS;Semiurbana
EMPRESA DE TRANSPORTES ANDORINHA S/A;8966;3;ROSANA - RIBEIRAO PRETO;Rodoviária Convencional
GUERINO SEISCENTO TRANSPORTES S/A;8977;3;LINS - GETULINA(MACUCOS);Semiurbana
VIAÇÃO PIRACICABANA S/A;8979;3;PANORAMA - SAO BERNARDO DO CAMPO;Rodoviária Convencional
EXPRESSO ITAMARATI S/A;8982;4;JALES - PEREIRA BARRETO;Semiurbana
VIAÇÃO DANUBIO AZUL LTDA;8986;1;BARRETOS - COLOMBIA;Semiurbana
VALLESUL TRANSPORTES E TURISMO LTDA;8992;5;ILHA COMPRIDA - REGISTRO;Semiurbana Litorânea
EMPRESA PRINCESA DO NORTE S/A;8994;3;CHAVANTES - OURINHOS;Semiurbana
AUTO VIAÇÃO OURINHOS ASSIS LTDA;8996;3;SANTA CRUZ RIO PARDO - OURINHOS;Semiurbana
VIAÇÃO LUWASA LTDA;9000;4;CAJOBI - OLIMPIA;Semiurbana
PEVÊ-TUR TRANSPORTES E TURISMO LTDA;9002;4;SAO JOSE DO RIO PRETO - MACAUBAS;Semiurbana
PLENA TRANSPORTES LTDA ME;9007;4;JAU - IBITINGA;Rodoviária Convencional
EMPRESA SÃO JOÃO DE TURISMO LTDA;9009;1;JUNDIAI - PRAIA GRANDE;Rodoviária Litorânea
EXPRESSO ITAMARATI S/A;9010;4;BURITAMA - VOTUPORANGA;Semiurbana
RAPIDO D OESTE LTDA;9013;1;RIBEIRAO PRETO - OLIMPIA;Rodoviária Convencional
RAPIDO D OESTE LTDA;9015;1;RIBEIRAO PRETO - PITANGUEIRAS;Semiurbana
EXPRESSO ITAMARATI S/A;9017;4;MIRASSOL - JACI;Semiurbana
EXPRESSO ITAMARATI S/A;9024;4;VOTUPORANGA - VALENTIM GENTIL;Semiurbana
VIAÇÃO SÃO BENTO LTDA;9026;1;BATATAIS - ALTINOPOLIS;Semiurbana
VIAÇÃO SÃO BENTO LTDA;9027;1;RIBEIRAO PRETO - BATATAIS;Semiurbana
VIAÇÃO SÃO BENTO LTDA;9028;1;RIBEIRAO PRETO - BRODOWSKI;Semiurbana
VB TRANSPORTES E TURISMO LTDA;9033;1;JUNDIAI - BAIRRO SANTO ANTONIO;Semiurbana
PEVÊ-TUR TRANSPORTES E TURISMO LTDA;9035;4;UBARANA - JOSE BONIFACIO;Semiurbana
PEVÊ-TUR TRANSPORTES E TURISMO LTDA;9036;4;UBARANA - ADOLFO;Semiurbana
PEVÊ-TUR TRANSPORTES E TURISMO LTDA;9037;4;ADOLFO - SAO JOSE DO RIO PRETO;Semiurbana
PEVÊ-TUR TRANSPORTES E TURISMO LTDA;9038;4;ADOLFO - SAO JOSE DO RIO PRETO;Semiurbana
PEVÊ-TUR TRANSPORTES E TURISMO LTDA;9039;4;NOVA ALIANCA - SAO JOSE DO RIO PRETO;Semiurbana
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;9043;1;SANTA GERTRUDES - RIO CLARO;Semiurbana
VIAÇÃO VALE DO TIETE LTDA;9045;2;ITU - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
VIAÇÃO VALE DO TIETE LTDA;9046;2;ITU - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
EXPRESSO ADAMANTINA LTDA;9047;3;OSVALDO CRUZ - PRAÇA TACIBA;Rodoviária Convencional
EXPRESSO ADAMANTINA LTDA;9048;3;RANCHARIA - PORTO PORECATU;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;9064;5;SÃO PAULO (T.TIÊTE) - ILHA BELA;Rodoviária Litorânea
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;9080;1;RIO CLARO - ARARAS;Semiurbana
EXPRESSO ITAMARATI S/A;9082;4;SÃO PAULO(BARRA FUNDA) - VOTUPORANGA;Rodoviária Convencional
EXPRESSO ITAMARATI S/A;9084;4;SAO BERNARDO DO CAMPO - JALES;Rodoviária Convencional
VIAÇÃO MACIR RAMAZINI TURISMO LTDA;9086;1;MATAO - ARARAQUARA;Semiurbana
BREDA SOROCABA TRANSPORTES E TUR. LTDA;9088;2;PE DA SERRA - REGISTRO;Semiurbana
VIAÇÃO LOPES LTDA;9098;3;OSVALDO CRUZ - SAGRES;Semiurbana
VIAÇÃO LOPES LTDA;9099;3;OSVALDO CRUZ - LUCELIA;Semiurbana
VIAÇÃO LOPES LTDA;9100;3;OSVALDO CRUZ - SAGRES;Semiurbana
EXPRESSO ADAMANTINA LTDA;9104;3;TUPA - PARAPUA;Semiurbana
EXPRESSO ADAMANTINA LTDA;9107;3;PARAPUA - ADAMANTINA;Semiurbana
EXPRESSO ADAMANTINA LTDA;9108;3;DRACENA - PACAEMBU;Semiurbana
EXPRESSO ADAMANTINA LTDA;9109;3;DRACENA - TUPI PAULISTA;Semiurbana
EXPRESSO ITAMARATI S/A;9113;4;SAO JOSE DO RIO PRETO - ARACATUBA;Rodoviária Convencional
VIAÇÃO COMETA S/A;9117;5;OSASCO - SAO VICENTE;Rodoviária Litorânea
TRANSPORTES E TURISMO EROLES LTDA;9118;5;SUZANO - SUZANO;Rodoviária Litorânea
LITORANEA TRANSPORTES COLETIVOS S/A;9127;5;JAMBEIRO - SAO JOSE DOS CAMPOS;Semiurbana
