Permissionaria;Autos;TC;Denominacao_da_linha;caracteristica
VIAÇÃO PIRACICABANA S/A;7938;3;NOVA EUROPA - ITAPOLIS;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;7942;2;PILAR DO SUL - SOROCABA;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;7943;2;SOROCABA - VOTORANTIM(GREEN VALEY;Semiurbana
VIAÇÃO LOPES LTDA;7944;3;OSVALDO CRUZ - SAGRES(PLACA 28);Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;7946;5;SAO JOSE DOS CAMPOS - CAMPINAS;Rodoviária Convencional
TRANSPORTADORA SÃO PEDRO LTDA;7947;2;GUAREI - QUADRA;Rodoviária Convencional
VIAÇÃO CALVIPE LTDA;7953;2;CERQUILHO - TIETE;Semiurbana
EMPRESA RODOVIARIA PIRACICABANA LTDA;7955;1;AGUAS DE LINDOIA - MONGAGUA;Rodoviária Litorânea
VIAÇÃO SANTA CRUZ LTDA;7964;1;CAMPINAS - ESPIRITO SANTO PINHAL;Rodoviária Convencional
PONTUR TRANSPORTES E TURISMO LTDA;7970;2;SOROCABA - SOROCABA;Semiurbana
EXPRESSO REGIONAL TRANSPORTES LTDA;7971;2;SAO ROQUE - SAO PAULO;Rodoviária Convencional
EXPRESSO REGIONAL TRANSPORTES LTDA;7972;2;SAO ROQUE - COTIA;Semiurbana
VIAÇÃO PIRACICABANA S/A;7974;3;BAURU - MARILIA;Rodoviária Convencional
CRISTALENSE TRANSPORTES E TURISMO LTDA;7978;1;FRANCA - RIFAINA;Semiurbana
EMPRESA DE ÔNIBUS LUCHINI LTDA;7981;3;FRUTAL DO CAMPO - ASSIS;Semiurbana
VIAÇÃO DANUBIO AZUL LTDA;7982;1;DESCALVADO - CAMPINAS;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;7983;1;ARARAS - PORTO FERREIRA;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;7984;1;PORTO FERREIRA - DESCALVADO;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;7985;1;CAJURU - PORTO FERREIRA;Rodoviária Convencional
VIAÇÃO ATIBAIA SÃO PAULO LTDA;7986;1;ATIBAIA - NAZARE PAULISTA;Semiurbana
VIAÇÃO ATIBAIA SÃO PAULO LTDA;7987;1;ATIBAIA - BOM JESUS DOS PERDOES;Semiurbana
VIAÇÃO ATIBAIA SÃO PAULO LTDA;7988;1;SÃO PAULO (T.TIÊTE) - PIRACAIA;Rodoviária Convencional
VIAÇÃO ATIBAIA SÃO PAULO LTDA;7989;1;SÃO PAULO (T.TIÊTE) - ATIBAIA;Rodoviária Convencional
VIAÇÃO ATIBAIA SÃO PAULO LTDA;7991;1;ATIBAIA - MAIRIPORA;Semiurbana
VIAÇÃO ATIBAIA SÃO PAULO LTDA;7992;1;PIRACAIA - ATIBAIA;Semiurbana
VIAÇÃO DANUBIO AZUL LTDA;7993;1;SANTA CRUZ PALMEIRAS - TAMBAU;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;7994;1;ARARAS - TAMBAU;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;7995;1;CAMPINAS - TAMBAU;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;7996;1;CAMPINAS - ARARAS;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;7997;1;PORTO FERREIRA - TAMBAU;Rodoviária Convencional
VB TRANSPORTES E TURISMO LTDA;8001;1;RIO CLARO - SAO CARLOS;Rodoviária Convencional
EXPRESSO REGIONAL TRANSPORTES LTDA;8010;2;SAO ROQUE - SAO PAULO;Rodoviária Convencional
EXPRESSO REGIONAL TRANSPORTES LTDA;8011;2;SAO ROQUE - SAO PAULO;Rodoviária Convencional
VIAÇÃO JACAREI LTDA;8012;5;JACAREI - SANTA ISABEL;Semiurbana
VIAÇÃO JACAREI LTDA;8013;5;MOGI DAS CRUZES - TAUBATE;Rodoviária Convencional
VIAÇÃO JACAREI LTDA;8014;5;MOGI DAS CRUZES - SAO JOSE DOS CAMPOS;Rodoviária Convencional
VIAÇÃO JACAREI LTDA;8015;5;MOGI DAS CRUZES - JACAREI;Semiurbana
VIAÇÃO PIRACICABANA S/A;8020;3;PIRACICABA - CAMPINAS;Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;8021;3;AMERICANA - LIMEIRA;Rodoviária Convencional
ABC - TRANSPORTES COLETIVOS VALE DO PARAIBA LTDA;8026;5;TREMEMBE - TREMEMBE;Semiurbana
VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;8032;1;TATUI - ITAPETININGA;Rodoviária Convencional
AUTO VIAÇÃO MARCHIORI LTDA;8033;1;PIRACICABA - SALTINHO;Semiurbana
VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;8034;1;PIRACICABA - TIETE;Rodoviária Convencional
VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;8035;1;CERQUILHO - TATUI;Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;8040;3;PRESIDENTE PRUDENTE - SAO JOSE DO RIO PRETO;Rodoviária Convencional
AUTO ÔNIBUS SÃO JOÃO LTDA;8041;2;VOTORANTIM(terminal) - SOROCABA(Lageado);Semiurbana
EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;8042;3;SÃO PAULO(BARRA FUNDA) - ARACATUBA;Rodoviária Convencional
EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;8043;3;SÃO PAULO(BARRA FUNDA) - LINS;Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;8044;3;SÃO PAULO(BARRA FUNDA) - ANDRADINA;Rodoviária Convencional
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8046;3;BAURU - JAU;Rodoviária Convencional
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;8047;3;BAURU - BOCAINA;Semiurbana
AUTO VIAÇÃO BRAGANCA LTDA;8053;1;AGUAS DE LINDOIA - BRAGANCA PAULISTA;Semiurbana
AUTO VIAÇÃO BRAGANCA LTDA;8054;1;SOCORRO - BRAGANCA PAULISTA;Semiurbana
AUTO VIAÇÃO BRAGANCA LTDA;8056;1;BRAGANCA PAULISTA - MAIRIPORA;Semiurbana
AUTO VIAÇÃO BRAGANCA LTDA;8057;1;BRAGANCA PAULISTA - ATIBAIA;Semiurbana
EMPRESA RODOVIARIA PIRACICABANA LTDA;8058;1;ITATIBA - ATIBAIA;Semiurbana
VIAÇÃO COMETA S/A;8064;5;MOGI DAS CRUZES - P.GRANDE(V.MIRIM);Rodoviária Litorânea
VIAÇÃO COMETA S/A;8065;5;RIBEIRAO PIRES - GUARUJA;Rodoviária Litorânea
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8066;5;CRUZEIRO - QUELUZ;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8067;5;CRUZEIRO - LAVRINHAS(CAPELA JACU);Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8068;5;CRUZEIRO - SAO JOSE DOS CAMPOS;Rodoviária Convencional
EMPRESA PRINCESA DO NORTE S/A;8072;3;SÃO PAULO(BARRA FUNDA) - FARTURA;Rodoviária Convencional
VIAÇÃO GUAXUPE LTDA;8078;1;ESPIRITO SANTO PINHAL - SAO JOAO DA BOA VISTA;Rodoviária Convencional
VIAÇÃO SANTA CRUZ LTDA;8079;1;CAMPINAS - ESPIRITO SANTO PINHAL;Rodoviária Convencional
JANDAIA TRANSPORTES E TURISMO LTDA;8082;3;PRESIDENTE PRUDENTE - TACIBA;Semiurbana
EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;8083;3;ANDRADINA - SAO JOSE DO RIO PRETO;Rodoviária Convencional
VB TRANSPORTES E TURISMO LTDA;8090;1;INDAIATUBA - SALTO;Semiurbana
VIAÇÃO MACIR RAMAZINI TURISMO LTDA;8092;1;PONTAL - MORRO AGUDO;Rodoviária Convencional
POLENTUR VIAGENS E TURISMO LTDA;8093;2;ITARARE - APIAI;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8103;5;LORENA - CRUZEIRO;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8104;5;CACHOEIRA PAULISTA - CRUZEIRO;Semiurbana
VIAÇÃO ATIBAIA SÃO PAULO LTDA;8107;1;JARINU - CAMPO LIMPO PAULISTA;Semiurbana
TRANSPORTES E TURISMO EROLES LTDA;8109;5;IGARATA - JACAREI;Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8110;5;GUARATINGUETA - PINDAMONHANGABA;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8111;5;TAUBATE - PINDAMONHANGABA;Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8113;5;GUARATINGUETA - LORENA;Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8114;5;LORENA - CACHOEIRA PAULISTA;Semiurbana
VIAÇÃO PIRACICABANA S/A;8116;3;CAMPINAS - ARARAQUARA;Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;8117;3;IBITINGA - BORBOREMA;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8123;2;SOROCABA - PIEDADE;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8124;2;SOROCABA - PILAR DO SUL;Rodoviária Convencional
VIAÇÃO LUWASA LTDA;8125;4;URUPES - CATANDUVA;Semiurbana
EXPRESSO ITAMARATI S/A;8127;4;SAO JOSE DO RIO PRETO - JALES;Rodoviária Convencional
EXPRESSO ITAMARATI S/A;8128;4;SAO JOSE DO RIO PRETO - VOTUPORANGA;Semiurbana
EXPRESSO ITAMARATI S/A;8129;4;SAO JOSE DO RIO PRETO - TANABI;Semiurbana
EXPRESSO ITAMARATI S/A;8131;4;JALES - SANTA FE DO SUL;Semiurbana
VIAÇÃO GUAXUPE LTDA;8132;1;MOCOCA - CASSIA DOS COQUEIROS;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;8134;1;SÃO PAULO (T.TIÊTE) - PIRASSUNUNGA;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;8135;1;SÃO PAULO (T.TIÊTE) - ARARAS;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;8136;1;CAMPINAS - SANTA RITA DO P.QUATRO;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;8137;1;ARARAS - SANTA RITA DO P.QUATRO;Rodoviária Convencional
EXPRESSO ITAMARATI S/A;8142;4;SAO JOSE DO RIO PRETO - GUAPIACU;Semiurbana
EMPRESA AUTO ÔNIBUS SÃO JORGE LTDA;8144;2;TATUI - SOROCABA;Rodoviária Convencional
